expenditure_date,committee_name,expense_category,payee_name,address,payee_type,amount,expense_purpose
2021-07-09,Represent Maryland PAC,Media,The Washington Post Company,1150 15th St. NW  Washington  District Of Columbia 20071,Business/Group/Organization,10.6,Newspaper
2021-08-06,Represent Maryland PAC,Media,The Washington Post Company,1150 15th St. NW  Washington  District Of Columbia 20071,Business/Group/Organization,10.6,Newspaper
2021-09-03,Represent Maryland PAC,Media,The Washington Post Company,1150 15th St. NW  Washington  District Of Columbia 20071,Business/Group/Organization,10.6,Newspaper
2021-10-01,Represent Maryland PAC,Media,The Washington Post Company,1150 15th St. NW  Washington  District Of Columbia 20071,Business/Group/Organization,10.6,Newspaper
2021-10-29,Represent Maryland PAC,Media,The Washington Post Company,1150 15th St. NW  Washington  District Of Columbia 20071,Business/Group/Organization,10.6,Newspaper
2021-11-26,Represent Maryland PAC,Media,The Washington Post Company,1150 15th St. NW  Washington  District Of Columbia 20071,Business/Group/Organization,10.6,Newspaper
2021-12-24,Represent Maryland PAC,Media,The Washington Post Company,1150 15th St. NW  Washington  District Of Columbia 20071,Business/Group/Organization,10.6,Newspaper
2021-02-08,Represent Maryland PAC,Media,Weebly  Inc,460 Bryant St  #100  San Francisco  Maryland 94107,Business/Group/Organization,96,Media - Website Development
2021-09-16,McKay  Mike Citizens to Elect,Media,M2 Group Marketing & Communication,7316 Waverly Island Road  Easton  Maryland 21601,Business/Group/Organization,326.85,Consulting Fees - General
2021-09-17,McKay  Mike Citizens to Elect,Media,MICHAEL WAYNE  MCKAY,407 Washington Street  Cumberland  Maryland 21502,Self (Candidate),1700,Radio
2021-06-16,Crosby  Brian M. Committee to Elect,Media,7th District Rescue Squad,PO Box 7  Avenue  Maryland 20609,Business/Group/Organization,250,Book/Brochure Advertising
2021-07-14,Crosby  Brian M. Committee to Elect,Media,Willows Recreation Center,46961 Bradley Blvd.  Lexington Park  Maryland 20653,Business/Group/Organization,240,Book/Brochure Advertising
2021-12-29,Represent Maryland PAC,Media,MAILCHIMP,675 Ponce de Leon Ave NE  suite 5000  Atlanta  Georgia 30308,Business/Group/Organization,60.09,Online Advertising
2021-11-29,Represent Maryland PAC,Media,MAILCHIMP,675 Ponce de Leon Ave NE  suite 5000  Atlanta  Georgia 30308,Business/Group/Organization,60.09,Online Advertising
2021-10-29,Represent Maryland PAC,Media,MAILCHIMP,675 Ponce de Leon Ave NE  suite 5000  Atlanta  Georgia 30308,Business/Group/Organization,60.09,Online Advertising
2021-09-29,Represent Maryland PAC,Media,MAILCHIMP,675 Ponce de Leon Ave NE  suite 5000  Atlanta  Georgia 30308,Business/Group/Organization,60.09,Online Advertising
2021-08-29,Represent Maryland PAC,Media,MAILCHIMP,675 Ponce de Leon Ave NE  suite 5000  Atlanta  Georgia 30308,Business/Group/Organization,60.09,Online Advertising
2021-07-29,Represent Maryland PAC,Media,MAILCHIMP,675 Ponce de Leon Ave NE  suite 5000  Atlanta  Georgia 30308,Business/Group/Organization,60.09,Online Advertising
2021-06-29,Represent Maryland PAC,Media,MAILCHIMP,675 Ponce de Leon Ave NE  suite 5000  Atlanta  Georgia 30308,Business/Group/Organization,60.09,Online Advertising
2021-03-20,Represent Maryland PAC,Media,MAILCHIMP,675 Ponce de Leon Ave NE  suite 5000  Atlanta  Georgia 30308,Business/Group/Organization,56.69,Online Advertising
2021-02-20,Represent Maryland PAC,Media,MAILCHIMP,675 Ponce de Leon Ave NE  suite 5000  Atlanta  Georgia 30308,Business/Group/Organization,56.69,Online Advertising
2021-01-20,Represent Maryland PAC,Media,MAILCHIMP,675 Ponce de Leon Ave NE  suite 5000  Atlanta  Georgia 30308,Business/Group/Organization,56.69,Online Advertising
2021-12-07,Represent Maryland PAC,Media,GoDaddy  Inc,14455 Hayden Road  Scottsdale  Arizona 85260,Business/Group/Organization,31.16,Media - Website Development
